title,link,pub_date,description
"Mass grave reveals scale of unlawful killings by Egyptian army in Sinai, say campaigners",https://www.theguardian.com/world/2025/sep/22/mass-grave-reveals-scale-of-unlawful-killings-by-egyptian-army-in-sinai-say-campaigners,"Mon, 22 Sep 2025 10:25:55 GMT","<p>Human rights group says hundreds of skeletons found exposed or buried just below ground during research into killings of civilians</p><p>Hundreds of bodies could have been buried at a mass grave discovered in Egypt’s Sinai province by human rights campaigners.</p><p>Bodies lying on the surface and others buried barely 30cm below were found at a burial site near a military outpost by the Sinai Foundation for Human Rights.</p> <a href=""https://www.theguardian.com/world/2025/sep/22/mass-grave-reveals-scale-of-unlawful-killings-by-egyptian-army-in-sinai-say-campaigners"">Continue reading...</a>"
Kenya’s arrest warrant is milestone in Agnes Wanjiru case but lengthy UK process awaits,https://www.theguardian.com/world/2025/sep/21/kenya-issues-arrest-warrant-agnes-wanjiru-uk-must-rule-on-extradition,"Sun, 21 Sep 2025 17:39:10 GMT","<p>After 13 years, warrant has been issued for UK suspect, but Robert James Purkiss would need to be extradited to face charges</p><ul><li><p><a href=""https://www.theguardian.com/uk-news/2025/sep/21/british-soldier-accused-of-murdering-kenyan-woman-agnes-wanjiru-named"">British soldier accused of murdering Agnes Wanjiru named</a></p></li></ul><p>In the spring of 2012, David Cameron was prime minister and British troops were still fighting in Afghanistan under the stewardship of the then defence secretary, Philip Hammond.</p><p>Before deploying, soldiers from the UK would be flown 3,000 miles south-west of Helmand province, to Kenya, for hot weather training. They would train at Batuk, the British army base that still operates today, close to Nanyuki, a poor market town in the east of the country.</p> <a href=""https://www.theguardian.com/world/2025/sep/21/kenya-issues-arrest-warrant-agnes-wanjiru-uk-must-rule-on-extradition"">Continue reading...</a>"
Scores killed by RSF drone strike on mosque in besieged Sudanese city,https://www.theguardian.com/world/2025/sep/19/rsf-drone-strike-kills-scores-people-mosque-sudan,"Fri, 19 Sep 2025 14:45:42 GMT","<p>First responders say 75 worshippers dead as paramilitaries push to capture last foothold of Sudanese army in Darfur</p><p>A drone strike by the paramilitary Rapid Support Forces on the besieged Sudanese city of El Fasher has killed 75 people worshipping in a mosque, first responders have said, as the group continued its push to capture the last foothold of Sudan’s army in the Darfur region.</p><p>The attack, one of the deadliest this year in the city, hit the al-Daraja neighbourhood, where civilians from the famine-hit Abu Shouk displacement camp had fled after it was overrun by fighters .</p> <a href=""https://www.theguardian.com/world/2025/sep/19/rsf-drone-strike-kills-scores-people-mosque-sudan"">Continue reading...</a>"
"Kenya’s Turkana people genetically adapted to live in harsh environment, study suggests",https://www.theguardian.com/global-development/2025/sep/19/kenya-turkana-people-genetically-adapted-to-live-in-harsh-environment-study-suggests,"Fri, 19 Sep 2025 09:21:37 GMT","<p>Research which began with conversations round a campfire and went on to examine 7m gene variants shows how people survive with little water and a meat-rich diet</p><p>A collaboration between African and American researchers and a community living in one of the most hostile landscapes of northern Kenya has uncovered key genetic adaptations that explain how pastoralist people have been able to thrive in the region.</p><p>Underlying the population’s abilities to live in Turkana, a place defined by extreme heat, water scarcity and limited vegetation, has been hundreds of years of natural selection, according to a study <a href=""https://www.science.org/doi/10.1126/science.adv2467"">published in Science</a>.</p> <a href=""https://www.theguardian.com/global-development/2025/sep/19/kenya-turkana-people-genetically-adapted-to-live-in-harsh-environment-study-suggests"">Continue reading...</a>"
"Eritrean man is second to be deported to France under UK’s ‘one in, one out’ deal",https://www.theguardian.com/uk-news/2025/sep/19/eritrean-man-is-second-to-be-deported-to-france-under-uk-one-in-one-out-deal,"Fri, 19 Sep 2025 06:55:42 GMT","<p>Home Office says man left Heathrow for Paris early on Friday after losing high court attempt to block move</p><p>An Eritrean man has been deported to France under the UK government’s “one in, one out” deal with the neighbouring country.</p><p>The man – the second to be deported under the agreement – was on a flight that left Heathrow for Paris at 6.15am on Friday, the Home Office confirmed after he lost a high court attempt to block the move.</p> <a href=""https://www.theguardian.com/uk-news/2025/sep/19/eritrean-man-is-second-to-be-deported-to-france-under-uk-one-in-one-out-deal"">Continue reading...</a>"
Weather tracker: Flash floods and landslides wreak havoc in California,https://www.theguardian.com/environment/2025/sep/22/weather-tracker-flash-floods-landslides-havoc-california,"Mon, 22 Sep 2025 08:24:55 GMT","<p>Two-year-old boy dies and homes buried as remnants of Tropical Storm Mario bring downpours and thunder</p><p>Flash flooding and landslides led to the <a href=""https://www.theguardian.com/us-news/2025/sep/20/two-year-old-drowns-california-mudslides"">death of a two-year-old boy</a> in California in the US last week, after heavy rainfall followed on the heels of Tropical Storm Mario further south. The storm skirted the Pacific coast of Mexico with minimal disruption, eventually dissipating to the west of Baja California on Tuesday, but the remnants went on to cause havoc on Thursday. Residual moist air from the tropical storm was drawn north-east towards California, bringing heavy downpours and thunder to central and southern counties.</p><p>The heaviest rainfall was in the mountains of Riverside and San Bernardino counties, where up to 68mm (2.67in) fell in a few hours. Further north, Death Valley – famously one of the driest places on Earth – received 15mm of rain, triple the average rainfall for September and a full quarter of the yearly average.</p> <a href=""https://www.theguardian.com/environment/2025/sep/22/weather-tracker-flash-floods-landslides-havoc-california"">Continue reading...</a>"
Brazilians protest in their thousands against granting Bolsonaro amnesty,https://www.theguardian.com/world/2025/sep/21/brazil-protest-against-jair-bolsonaro-amnesty,"Sun, 21 Sep 2025 19:44:16 GMT","<p>Huge crowds pack the streets to oppose endeavours to help ex-president escape jail</p><p>Tens of thousands of Brazilians have taken to the streets to demand no amnesty be granted to their country’s former president Jair Bolsonaro after he was convicted of plotting a coup.</p><p>The far-right populist was <a href=""https://www.theguardian.com/world/2025/sep/11/brazil-supreme-court-bolsonaro-guilty-coup"">sentenced to 27 years in prison</a> earlier this month for illegally attempting to cling to power after he lost the 2022 presidential election to his leftwing opponent, Luiz Inácio Lula da Silva.</p> <a href=""https://www.theguardian.com/world/2025/sep/21/brazil-protest-against-jair-bolsonaro-amnesty"">Continue reading...</a>"
Trump again asks supreme court to end protections for Venezuelans in US,https://www.theguardian.com/us-news/2025/sep/19/trump-tps-immigration-venezuela,"Sat, 20 Sep 2025 00:01:03 GMT","<p>Justice department urges court to overturn ruling that Kristi Noem lacked authority to end TPS program</p><p>The Trump administration asked the US supreme court on Friday to intervene for the second time in a case involving its bid to end deportation protections the former president, Joe Biden, granted to hundreds of thousands of Venezuelans in the United States.</p><p>The justice department filed an emergency application asking the justices to lift a federal judge’s ruling that the homeland security secretary, Kristi Noem, lacked the authority to end the protections for Venezuelans under the temporary protected status, or TPS, program.</p> <a href=""https://www.theguardian.com/us-news/2025/sep/19/trump-tps-immigration-venezuela"">Continue reading...</a>"
UN votes to allow Palestinian president to address annual gathering via video link,https://www.theguardian.com/world/2025/sep/19/un-palestinian-president-annual-gathering-video-link,"Fri, 19 Sep 2025 17:08:53 GMT","<p>Trump had refused to grant visas for Palestinian delegation due to attend conference and UN general assembly</p><p>The United Nations general assembly has voted to allow the Palestinian president, Mahmoud Abbas, to address next week’s annual gathering of world leaders next week in New York via video link after Donald Trump said he would not give him a US visa.</p><p>The resolution received 145 votes in favour and five votes against, while six countries abstained.</p> <a href=""https://www.theguardian.com/world/2025/sep/19/un-palestinian-president-annual-gathering-video-link"">Continue reading...</a>"
Judges rule against Trump administration on deporting Guatemalan children and Venezuelans,https://www.theguardian.com/us-news/2025/sep/18/ruling-trump-deport-children-guatemalan-venezuelan,"Thu, 18 Sep 2025 18:10:34 GMT","<p>Double defeat protects Venezuelans with temporary protected status and Guatemalan minors</p><p>The <a href=""https://www.theguardian.com/us-news/trump-administration"">Trump administration</a> has been handed a double defeat by judges in immigration cases, barring the executive branch from deporting a group of Guatemalan children and from slashing protections for many Venezuelans in the US.</p><p>A federal judge on Thursday ordered the administration to refrain from deporting Guatemalan unaccompanied immigrant children with active immigration cases while a legal challenge plays out.</p> <a href=""https://www.theguardian.com/us-news/2025/sep/18/ruling-trump-deport-children-guatemalan-venezuelan"">Continue reading...</a>"
